.HEADER
..NAMES
Time,Dig_V(:cic3_echip65_1x1_top_tb:v)
..UNITS
s,
..DATATYPES
double,bit
..WAVEFORM_TYPES
,bit
..AXIS_SPACING
linear
.DATA
5.057863e-4,'1'
5.059816e-4,'0'
5.061769e-4,'1'
5.065675e-4,'0'
5.069581e-4,'1'
5.071535e-4,'0'
5.073488e-4,'1'
5.075441e-4,'0'
5.077394e-4,'1'
5.079347e-4,'0'
5.081300e-4,'1'
5.083253e-4,'0'
5.085206e-4,'1'
5.087160e-4,'0'
5.089113e-4,'1'
5.091066e-4,'0'
5.093019e-4,'1'
5.094972e-4,'0'
5.096926e-4,'1'
5.098878e-4,'0'
5.102785e-4,'1'
5.104738e-4,'0'
5.106691e-4,'1'
5.108644e-4,'0'
5.110597e-4,'1'
5.112550e-4,'0'
5.114503e-4,'1'
5.116456e-4,'0'
5.118410e-4,'1'
5.120363e-4,'0'
5.122316e-4,'1'
5.124269e-4,'0'
5.126223e-4,'1'
5.128175e-4,'0'
5.132082e-4,'1'
5.134034e-4,'0'
5.135988e-4,'1'
5.137941e-4,'0'
5.139894e-4,'1'
5.141847e-4,'0'
5.143801e-4,'1'
5.145753e-4,'0'
5.149660e-4,'1'
5.151613e-4,'0'
5.153566e-4,'1'
5.155519e-4,'0'
5.157472e-4,'1'
5.159425e-4,'0'
5.161378e-4,'1'
5.163331e-4,'0'
5.165285e-4,'1'
5.167237e-4,'0'
5.169191e-4,'1'
5.171144e-4,'0'
5.175050e-4,'1'
5.177003e-4,'0'
5.178957e-4,'1'
5.180909e-4,'0'
5.182863e-4,'1'
5.184815e-4,'0'
5.188722e-4,'1'
5.190675e-4,'0'
5.192628e-4,'1'
5.194581e-4,'0'
5.196535e-4,'1'
5.198487e-4,'0'
5.200442e-4,'1'
5.202394e-4,'0'
5.206300e-4,'1'
5.208253e-4,'0'
5.210207e-4,'1'
5.212159e-4,'0'
5.216066e-4,'1'
5.218020e-4,'0'
5.219972e-4,'1'
5.221926e-4,'0'
5.223878e-4,'1'
5.225831e-4,'0'
5.227785e-4,'1'
5.229737e-4,'0'
5.231691e-4,'1'
5.233644e-4,'0'
5.237551e-4,'1'
5.239503e-4,'0'
5.243410e-4,'1'
5.245363e-4,'0'
5.247316e-4,'1'
5.249269e-4,'0'
5.251222e-4,'1'
5.253175e-4,'0'
5.255129e-4,'1'
5.257081e-4,'0'
5.260988e-4,'1'
5.262941e-4,'0'
5.264895e-4,'1'
5.266847e-4,'0'
5.270754e-4,'1'
5.272706e-4,'0'
5.274660e-4,'1'
5.276612e-4,'0'
5.280519e-4,'1'
5.282472e-4,'0'
5.284425e-4,'1'
5.286378e-4,'0'
5.288332e-4,'1'
5.290284e-4,'0'
5.294191e-4,'1'
5.296144e-4,'0'
5.300050e-4,'1'
5.302003e-4,'0'
5.303957e-4,'1'
5.305909e-4,'0'
5.307863e-4,'1'
5.309815e-4,'0'
5.313722e-4,'1'
5.315675e-4,'0'
5.317629e-4,'1'
5.319581e-4,'0'
5.323488e-4,'1'
5.325441e-4,'0'
5.329347e-4,'1'
5.331300e-4,'0'
5.333253e-4,'1'
5.335206e-4,'0'
5.337160e-4,'1'
5.339112e-4,'0'
5.343019e-4,'1'
5.344972e-4,'0'
5.348878e-4,'1'
5.350831e-4,'0'
5.352785e-4,'1'
5.354737e-4,'0'
5.358644e-4,'1'
5.360597e-4,'0'
5.362551e-4,'1'
5.364503e-4,'0'
5.368410e-4,'1'
5.370362e-4,'0'
5.374269e-4,'1'
5.376222e-4,'0'
5.378175e-4,'1'
5.380128e-4,'0'
5.384035e-4,'1'
5.385987e-4,'0'
5.387941e-4,'1'
5.389894e-4,'0'
5.393801e-4,'1'
5.395753e-4,'0'
5.399660e-4,'1'
5.401612e-4,'0'
5.405519e-4,'1'
5.407472e-4,'0'
5.409426e-4,'1'
5.411378e-4,'0'
5.415285e-4,'1'
5.417237e-4,'0'
5.421144e-4,'1'
5.423097e-4,'0'
5.425051e-4,'1'
5.427003e-4,'0'
5.432863e-4,'1'
5.434816e-4,'0'
5.436769e-4,'1'
5.438722e-4,'0'
5.440676e-4,'1'
5.442628e-4,'0'
5.448488e-4,'1'
5.450441e-4,'0'
5.452394e-4,'1'
5.454347e-4,'0'
5.458254e-4,'1'
5.460206e-4,'0'
5.464113e-4,'1'
5.466065e-4,'0'
5.469972e-4,'1'
5.471925e-4,'0'
5.475832e-4,'1'
5.477784e-4,'0'
5.481691e-4,'1'
5.483644e-4,'0'
5.485597e-4,'1'
5.487550e-4,'0'
5.491457e-4,'1'
5.493409e-4,'0'
5.499269e-4,'1'
5.501222e-4,'0'
5.503175e-4,'1'
5.505128e-4,'0'
5.509035e-4,'1'
5.510987e-4,'0'
5.514894e-4,'1'
5.516847e-4,'0'
5.520754e-4,'1'
5.522706e-4,'0'
